No,Location Type,Gross Salary,Unit Salary,Converted Salary,Segment,Role Type,Location,Education,Year of Experience,Certificate,Year,Start Date,End Date,Index,Adjusted Salary
1,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,Engineering,Individual,"Sumatra, Jakarta",S1,10,1,44543,44543,45598,1826732283,"42.641.913,33"
2,Non-Remote,Rp64.080.661,Monthly,Rp64.080.661,Engineering,Individual,"Sumatra, Jakarta",S1,0,0,44543,44543,45598,1826732283,"74.607.577,33"
3,Non-Remote,Rp90.228.661,Monthly,Rp90.228.661,Engineering,Individual,"Sumatra, Jakarta",S1,10,0,44543,44543,45513,1826732283,"105.051.066,86"
4,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,Engineering,Individual,"Sumatra, Jakarta",S1,20,0,44543,44543,45513,1826732283,"42.641.913,33"
5,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",S1,0,0,44543,44543,45513,1826732283,"42.641.913,33"
6,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",D3,5,0,44543,44543,45513,1826732283,"42.641.913,33"
7,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",D4,2,0,44543,44543,45620,1826732283,"42.641.913,33"
8,Non-Remote,Rp64.080.661,Monthly,Rp64.080.661,Engineering,Individual,"Sumatra, Jakarta",S1,2,0,44543,44543,45620,1826732283,"74.607.577,33"
9,Non-Remote,Rp90.228.661,Monthly,Rp90.228.661,Engineering,Individual,"Sumatra, Jakarta",S1,10,0,44543,44543,45442,1826732283,"105.051.066,86"
10,Non-Remote,Rp31.395.661,Monthly,Rp31.395.661,Operational Support,Individual,"Sumatra, Jakarta",S1,20,0,44543,44543,45458,1826732283,"36.553.215,42"
11,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,Engineering,Individual,"Sumatra, Jakarta",S1,3,0,44543,44543,45445,1826732283,"42.641.913,33"
12,Non-Remote,Rp36.625.261,Monthly,Rp36.625.261,Facilities Engineering and Construction,Individual,"Sumatra, Jakarta",D3,0,0,44543,44543,45445,1826732283,"42.641.913,33"
13,Non-Remote,Rp15.666.861,Monthly,Rp15.666.861,Facilities Engineering and Construction,Individual,"Sumatra, Jakarta",S1,6,0,44543,44543,45445,1826732283,"18.240.550,66"
14,Non-Remote,Rp7.503.667,Monthly,Rp7.503.667,Operational Support,Individual,"Sumatra, Jakarta",D3,4,0,44543,44543,45506,1826732283,"8.736.339,59"
15,Non-Remote,Rp16.100.000,Monthly,Rp16.100.000,Engineering,Individual,Sumatra,D3,1,0,44776,44776,45506,2060959663,"16.614.498,73"
16,Non-Remote,Rp7.300.000,Monthly,Rp7.300.000,Operational Support,Individual,Sumatra,D3,1,0,44776,44776,45506,2060959663,"7.533.282,03"
17,Non-Remote,Rp40.794.026,Monthly,Rp40.794.026,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",D3,3,0,44470,44470,45442,1826598128,"47.498.994,80"
18,Non-Remote,Rp34.407.558,Monthly,Rp34.407.558,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",S1,10,0,44470,44470,45458,1826598128,"40.062.837,11"
19,Non-Remote,Rp17.817.276,Monthly,Rp17.817.276,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",S1,5,0,44470,44470,45445,1826598128,"20.745.750,86"
20,Non-Remote,Rp30.859.520,Monthly,Rp30.859.520,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",S1,2,0,44470,44470,45445,1826598128,"35.931.638,13"
21,Non-Remote,Rp17.817.276,Monthly,Rp17.817.276,"Production, Seismic and G&G",Individual,"Sumatra, Jakarta",S1,5,0,44470,44470,45506,1826598128,"20.745.750,86"
22,Non-Remote,Rp32.278.735,Monthly,Rp32.278.735,Engineering,Individual,"Sumatra, Jakarta",S1,5,0,44470,44470,45506,1826598128,"37.584.117,49"
23,Non-Remote,Rp17.817.276,Monthly,Rp17.817.276,Engineering,Individual,"Sumatra, Jakarta",S1,5,0,44470,44470,45505,1826598128,"20.745.750,86"
24,Non-Remote,Rp11.500.000,Monthly,Rp11.500.000,Non-Engineering,Individual,"Sumatra, Jakarta",SMA,5,0,44781,44781,45505,2056041657,"11.895.885,89"
25,Non-Remote,Rp11.500.000,Monthly,Rp11.500.000,Non-Engineering,Individual,"Sumatra, Jakarta",SMA,5,0,44781,44781,45505,2056041657,"11.895.885,89"
