"Location Type","Gross Salary","Unit Salary","Converted Salary","Segment","Role Type","Location","Education","Year of Experience","Certificate","Year","Start Date","End Date","Index","Adjusted Salary","Engineering","Production","Operational Support","Facilities","Non-Engineering","Drilling","Individual","Management","Sumatra","Jakarta","D3","D4","S1","S2","S3","SMA"
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Engineering","Individual","Sumatra, Jakarta","S1",10,1,44543,44543,45598,1826732283,42641913.33,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp64.080.661","Monthly","Rp64.080.661","Engineering","Individual","Sumatra, Jakarta","S1",0,0,44543,44543,45598,1826732283,74607577.33,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp90.228.661","Monthly","Rp90.228.661","Engineering","Individual","Sumatra, Jakarta","S1",10,0,44543,44543,45513,1826732283,105051066.86,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Engineering","Individual","Sumatra, Jakarta","S1",20,0,44543,44543,45513,1826732283,42641913.33,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",0,0,44543,44543,45513,1826732283,42641913.33,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Production, Seismic and G&G","Individual","Sumatra, Jakarta","D3",5,0,44543,44543,45513,1826732283,42641913.33,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Production, Seismic and G&G","Individual","Sumatra, Jakarta","D4",2,0,44543,44543,45620,1826732283,42641913.33,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"Non-Remote","Rp64.080.661","Monthly","Rp64.080.661","Engineering","Individual","Sumatra, Jakarta","S1",2,0,44543,44543,45620,1826732283,74607577.33,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp90.228.661","Monthly","Rp90.228.661","Engineering","Individual","Sumatra, Jakarta","S1",10,0,44543,44543,45442,1826732283,105051066.86,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp31.395.661","Monthly","Rp31.395.661","Operational Support","Individual","Sumatra, Jakarta","S1",20,0,44543,44543,45458,1826732283,36553215.42,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Engineering","Individual","Sumatra, Jakarta","S1",3,0,44543,44543,45445,1826732283,42641913.33,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp36.625.261","Monthly","Rp36.625.261","Facilities Engineering and Construction","Individual","Sumatra, Jakarta","D3",0,0,44543,44543,45445,1826732283,42641913.33,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp15.666.861","Monthly","Rp15.666.861","Facilities Engineering and Construction","Individual","Sumatra, Jakarta","S1",6,0,44543,44543,45445,1826732283,18240550.66,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp7.503.667","Monthly","Rp7.503.667","Operational Support","Individual","Sumatra, Jakarta","D3",4,0,44543,44543,45506,1826732283,8736339.59,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp16.100.000","Monthly","Rp16.100.000","Engineering","Individual","Sumatra","D3",1,0,44776,44776,45506,2060959663,16614498.73,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
